Term of Loan in Years|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50
04/09/2018|3.43|3.55|3.61|3.61|3.78|3.78|3.86|3.86|3.88|3.88|3.88|3.88|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44
04/16/2018|3.23|3.46|3.55|3.55|3.73|3.73|3.82|3.82|3.85|3.85|3.85|3.85|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|3.93|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45
04/23/2018|3.25|3.53|3.61|3.61|3.79|3.79|3.85|3.85|3.87|3.87|3.87|3.87|4|4|4|4|4|4|4|4|4|4|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51|4.51
04/30/2018|3.27|3.53|3.64|3.64|3.86|3.86|3.95|3.95|3.97|3.97|3.97|3.97|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62|4.62
05/07/2018|3.48|3.55|3.72|3.72|3.81|3.81|3.9|3.9|3.91|3.91|3.91|3.91|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.09|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59
05/14/2018|3.48|3.58|3.77|3.77|3.89|3.89|3.98|3.98|3.99|3.99|3.99|3.99|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59
05/21/2018|3.5|3.61|3.82|3.82|3.94|3.94|4.03|4.03|4.04|4.04|4.04|4.04|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64
05/28/2018|3.53|3.63|3.82|3.82|3.99|3.99|4.08|4.08|4.09|4.09|4.09|4.09|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69
06/04/2018|3.37|3.59|3.69|3.69|3.92|3.92|4.01|4.01|4.04|4.04|4.04|4.04|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59
06/11/2018|3.35|3.58|3.75|3.75|3.9|3.9|3.98|3.98|3.99|3.99|3.99|3.99|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58
06/18/2018|3.35|3.62|3.73|3.73|3.95|3.95|4.02|4.02|4.04|4.04|4.04|4.04|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65
06/25/2018|3.37|3.62|3.73|3.73|3.95|3.95|4|4|4.01|4.01|4.01|4.01|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61|4.61
07/02/2018|3.55|3.64|3.81|3.81|3.99|3.99|4.04|4.04|4.05|4.05|4.05|4.05|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59
07/09/2018|3.56|3.63|3.77|3.77|3.86|3.86|3.9|3.9|3.91|3.91|3.91|3.91|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56
07/16/2018|3.56|3.68|3.85|3.85|3.98|3.98|4.02|4.02|4.03|4.03|4.03|4.03|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56
07/23/2018|3.38|3.66|3.76|3.76|3.99|3.99|4.03|4.03|4.03|4.03|4.03|4.03|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.06|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55
07/30/2018|3.58|3.78|3.85|3.85|4.03|4.03|4.07|4.07|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58
08/06/2018|3.59|3.71|3.83|3.83|4.01|4.01|4.07|4.07|4.09|4.09|4.09|4.09|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63
08/13/2018|3.59|3.72|3.88|3.88|4.02|4.02|4.08|4.08|4.1|4.1|4.1|4.1|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63|4.63
08/20/2018|3.61|3.79|3.85|3.85|4.03|4.03|4.06|4.06|4.09|4.09|4.09|4.09|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.08|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57|4.57
08/27/2018|3.61|3.67|3.82|3.82|3.94|3.94|3.98|3.98|4|4|4|4|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55
09/03/2018|3.66|3.75|3.89|3.89|3.97|3.97|4.01|4.01|4.02|4.02|4.02|4.02|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.04|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56|4.56
09/10/2018|3.66|3.74|3.91|3.91|4.05|4.05|4.09|4.09|4.11|4.11|4.11|4.11|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58|4.58
09/17/2018|3.67|3.76|3.92|3.92|4.05|4.05|4.08|4.08|4.09|4.09|4.09|4.09|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64|4.64
09/24/2018|3.68|3.89|3.93|3.93|4.08|4.08|4.11|4.11|4.12|4.12|4.12|4.12|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69|4.69
10/01/2018|3.72|3.84|3.98|3.98|4.09|4.09|4.13|4.13|4.14|4.14|4.14|4.14|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.23|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76|4.76
10/08/2018|3.74|3.85|4.01|4.01|4.13|4.13|4.18|4.18|4.2|4.2|4.2|4.2|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74|4.74
10/15/2018|3.78|3.89|4.07|4.07|4.19|4.19|4.26|4.26|4.3|4.3|4.3|4.3|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.36|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94|4.94
10/22/2018|3.78|3.89|4.07|4.07|4.22|4.22|4.28|4.28|4.31|4.31|4.31|4.31|4.32|4.32|4.32|4.32|4.32|4.32|4.32|4.32|4.32|4.32|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89|4.89
10/29/2018|3.8|3.93|4.1|4.1|4.26|4.26|4.31|4.31|4.36|4.36|4.36|4.36|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.35|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9|4.9
11/05/2018|3.81|3.89|4.04|4.04|4.16|4.16|4.22|4.22|4.28|4.28|4.28|4.28|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.3|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87|4.87
11/12/2018|3.86|3.97|4.14|4.14|4.26|4.26|4.32|4.32|4.36|4.36|4.36|4.36|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98
11/19/2018|3.87|3.95|4.12|4.12|4.26|4.26|4.32|4.32|4.36|4.36|4.36|4.36|4.42|4.42|4.42|4.42|4.42|4.42|4.42|4.42|4.42|4.42|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98|4.98
11/26/2018|3.89|3.93|4.06|4.06|4.21|4.21|4.27|4.27|4.33|4.33|4.33|4.33|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84|4.84
12/03/2018|3.88|3.94|4.07|4.07|4.24|4.24|4.3|4.3|4.35|4.35|4.35|4.35|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85|4.85
12/10/2018|3.87|3.91|4.05|4.05|4.19|4.19|4.22|4.22|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.27|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79|4.79
12/17/2018|3.88|3.88|4.02|4.02|4.16|4.16|4.2|4.2|4.24|4.24|4.24|4.24|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67|4.67
12/24/2018|3.89|3.84|3.95|3.95|4.1|4.1|4.15|4.15|4.21|4.21|4.21|4.21|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.13|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65|4.65
12/31/2018|3.73|3.81|3.86|3.86|4.12|4.12|4.16|4.16|4.21|4.21|4.21|4.21|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.07|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59|4.59
01/07/2019|3.72|3.64|3.8|3.8|4.06|4.06|4.12|4.12|4.2|4.2|4.2|4.2|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.05|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55|4.55
01/14/2019|3.69|3.75|3.76|3.76|3.95|3.95|3.98|3.98|4.05|4.05|4.05|4.05|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49|4.49
01/21/2019|3.68|3.76|3.78|3.78|3.99|3.99|4.04|4.04|4.12|4.12|4.12|4.12|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48
01/28/2019|3.68|3.78|3.8|3.8|4.02|4.02|4.07|4.07|4.13|4.13|4.13|4.13|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|3.94|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48|4.48
02/04/2019|3.68|3.78|3.83|3.83|4.08|4.08|4.12|4.12|4.2|4.2|4.2|4.2|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|3.95|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5|4.5
02/11/2019|3.68|3.77|3.81|3.81|4.03|4.03|4.09|4.09|4.17|4.17|4.17|4.17|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|3.9|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44|4.44
02/18/2019|3.67|3.73|3.78|3.78|4|4|4.05|4.05|4.12|4.12|4.12|4.12|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4|4.4
02/25/2019|3.67|3.74|3.76|3.76|3.96|3.96|4.01|4.01|4.08|4.08|4.08|4.08|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39
03/04/2019|3.67|3.73|3.75|3.75|3.96|3.96|4.03|4.03|4.1|4.1|4.1|4.1|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|3.84|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39|4.39
03/11/2019|3.64|3.75|3.77|3.77|3.99|3.99|4.06|4.06|4.12|4.12|4.12|4.12|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|3.89|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45|4.45
03/18/2019|3.63|3.69|3.72|3.72|3.96|3.96|4.02|4.02|4.1|4.1|4.1|4.1|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|3.82|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34|4.34
03/25/2019|3.63|3.7|3.72|3.72|3.96|3.96|4.03|4.03|4.09|4.09|4.09|4.09|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31|4.31
04/01/2019|3.61|3.57|3.59|3.59|3.87|3.87|3.95|3.95|4.03|4.03|4.03|4.03|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1
04/08/2019|3.61|3.61|3.67|3.67|3.82|3.82|3.88|3.88|3.94|3.94|3.94|3.94|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|3.62|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12|4.12
04/15/2019|3.6|3.65|3.74|3.74|3.96|3.96|4.01|4.01|4.08|4.08|4.08|4.08|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16|4.16
04/22/2019|3.59|3.66|3.68|3.68|3.9|3.9|3.96|3.96|4.03|4.03|4.03|4.03|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|3.69|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21|4.21
04/29/2019|3.58|3.61|3.71|3.71|3.93|3.93|3.98|3.98|4.06|4.06|4.06|4.06|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|3.71|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24|4.24
05/06/2019|3.58|3.57|3.65|3.65|3.84|3.84|3.91|3.91|3.99|3.99|3.99|3.99|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|3.66|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18|4.18
05/13/2019|3.57|3.58|3.64|3.64|3.79|3.79|3.85|3.85|3.91|3.91|3.91|3.91|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|3.63|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14|4.14
05/20/2019|3.55|3.53|3.62|3.62|3.82|3.82|3.88|3.88|3.97|3.97|3.97|3.97|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|3.59|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11|4.11
05/27/2019|3.56|3.55|3.62|3.62|3.84|3.84|3.89|3.89|3.97|3.97|3.97|3.97|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|3.57|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1|4.1
06/03/2019|3.55|3.47|3.55|3.55|3.76|3.76|3.82|3.82|3.88|3.88|3.88|3.88|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|3.53|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03|4.03
06/10/2019|3.52|3.38|3.46|3.46|3.68|3.68|3.77|3.77|3.84|3.84|3.84|3.84|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.35|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86|3.86
06/17/2019|3.5|3.45|3.51|3.51|3.67|3.67|3.75|3.75|3.83|3.83|3.83|3.83|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.33|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87|3.87
06/24/2019|3.48|3.39|3.44|3.44|3.64|3.64|3.71|3.71|3.8|3.8|3.8|3.8|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.31|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88|3.88
07/01/2019|3.45|3.32|3.38|3.38|3.55|3.55|3.64|3.64|3.73|3.73|3.73|3.73|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.23|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77|3.77
07/08/2019|3.42|3.37|3.42|3.42|3.61|3.61|3.67|3.67|3.76|3.76|3.76|3.76|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.25|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8|3.8
07/15/2019|3.42|3.41|3.48|3.48|3.62|3.62|3.67|3.67|3.75|3.75|3.75|3.75|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.29|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79|3.79
